거래일,거래시간,연료전지,석탄가스화복합화력(IGCC),태양광,풍력,수력,해양에너지,바이오에너지,폐기물에너지,신재생 합계,,
2021-01-01,1,484.648144,185.332,5.421083,709.368796,94.981629,0,722.389131,0,2202.140783,,725.632045
2021-01-01,2,484.8933,235.33104,1.849358,690.171011,94.30723,0,721.818571,0,2228.37051,,
2021-01-01,3,484.925545,238.34664,1.226078,699.105388,90.826572,0,723.330761,0,2237.760984,,
2021-01-01,4,485.075876,238.60592,0.73417,666.601598,86.021188,61.221048,721.133606,0,2259.393406,,
2021-01-01,5,485.112767,239.09256,0.694968,613.366167,82.827552,146.600496,719.15594,0,2286.85045,,
2021-01-01,6,484.930229,241.1136,0.482036,584.125522,81.552198,171.44988,717.165945,0,2280.81941,,
2021-01-01,7,484.777331,239.06176,0.037488,469.943273,81.55378,153.566112,721.824354,0,2150.764098,,
2021-01-01,8,484.855441,237.8208,2.233529,447.463795,83.986934,95.39796,724.734105,0,2076.492564,,
2021-01-01,9,484.918607,238.1988,144.596483,482.19069,524.079963,19.81728,720.912579,0,2614.714402,,
2021-01-01,10,484.9363,239.11776,598.289362,512.59355,550.066813,0,715.477707,0,3100.481492,,
2021-01-01,11,484.806682,238.95536,772.270638,603.59115,598.902537,0,715.745022,0,3414.271389,,
2021-01-01,12,485.014251,236.52608,969.691053,669.076079,582.388374,0,716.589976,0,3659.285813,,
2021-01-01,13,484.843419,237.54304,986.430299,659.03829,250.492645,0,711.467094,0,3329.814787,,
2021-01-01,14,484.58379,239.79816,878.313627,622.619199,399.150293,0,711.797432,0,3336.262501,,
2021-01-01,15,484.427091,238.56392,737.724769,620.900919,389.532529,0,716.544862,0,3187.69409,,
2021-01-01,16,484.469106,237.1908,455.044815,620.797507,422.748741,121.454928,716.713582,0,3058.419479,,
2021-01-01,17,484.350063,237.19976,239.371585,623.109092,334.462299,206.855712,718.900532,0,2844.249043,,
2021-01-01,18,483.974055,238.4004,467.961698,579.828116,342.449394,243.663336,714.395341,0,3070.67234,,
2021-01-01,19,484.090847,238.28056,546.630203,501.945957,305.35415,241.560984,730.69716,0,3048.559861,,
2021-01-01,20,483.810078,237.18464,459.621735,414.546813,282.938842,196.669872,734.652023,0,2809.424003,,
2021-01-01,21,483.201288,238.5348,298.6365,378.164337,207.987557,112.260624,729.530828,0,2448.315934,,
2021-01-01,22,482.778968,238.60816,115.813477,377.368121,201.241673,29.732808,708.560974,0,2154.104181,,
2021-01-01,23,482.852177,239.81552,33.219009,395.784454,126.305342,0,714.679726,0,1992.656228,,
2021-01-01,24,482.828966,237.62816,7.300684,409.674304,93.223867,0,715.979968,0,1946.635949,,
2021-01-02,1,482.598725,239.28744,2.653977,430.582649,93.292556,0,713.542655,0,1961.958002,,
2021-01-02,2,482.468885,240.45448,0.852064,425.33454,93.676201,0,715.176751,0,1957.962921,,
2021-01-02,3,482.640938,240.9988,0.742316,434.191272,92.265195,0,718.753877,0,1969.592398,,
2021-01-02,4,482.662016,239.0248,0.66193,422.283823,87.943752,0.821016,714.579888,0,1947.977225,,
2021-01-02,5,482.596165,237.65448,0.625632,427.452301,84.482347,110.093088,714.984726,0,2057.888739,,
2021-01-02,6,482.525488,239.18384,0.34414,481.441546,81.890616,156.417744,717.575298,0,2159.378672,,
2021-01-02,7,482.536708,238.64176,0.026717,465.315826,80.426086,163.31532,720.07481,0,2150.337227,,
2021-01-02,8,482.548645,237.95352,2.090735,437.501854,82.144796,127.802472,720.771369,0,2090.813391,,
2021-01-02,9,482.605967,237.93784,126.94746,408.196204,374.757726,56.18676,716.829457,0,2403.461414,,
2021-01-02,10,482.172918,239.48064,630.545075,410.132932,539.611458,2.817024,717.806899,0,3022.566946,,
2021-01-02,11,482.096364,239.5932,965.032504,438.244456,586.404536,0,711.716074,0,3423.087134,,
2021-01-02,12,481.936851,238.7,1323.888642,485.854332,578.100497,0,710.751726,0,3819.232048,,
2021-01-02,13,481.93601,238.94696,1554.085818,554.234312,165.11942,0,710.591455,0,3704.913975,,
2021-01-02,14,482.245483,239.78696,1658.805494,573.531397,114.049797,0,709.471032,0,3777.890163,,
2021-01-02,15,482.58939,240.95232,1681.964391,571.222574,362.516562,0,714.531138,0,4053.776375,,
2021-01-02,16,482.485498,241.16848,1306.165017,611.630309,444.163813,19.345368,708.512804,0,3813.471289,,
2021-01-02,17,482.534767,238.08232,522.465356,627.934526,468.055862,151.433184,710.145915,0,3200.65193,,
2021-01-02,18,482.157517,240.12352,623.026602,673.741319,457.90868,216.54108,711.285383,0,3404.784101,,
2021-01-02,19,481.259396,239.36696,827.310438,707.80906,364.006941,241.944864,706.445642,0,3568.143301,,
2021-01-02,20,481.247484,238.54936,882.226875,724.706915,323.169972,229.118904,707.199753,0,3586.219263,,
2021-01-02,21,481.276073,237.73344,688.449824,756.17742,270.114681,168.283416,706.967412,0,3309.002266,,
2021-01-02,22,481.665205,239.31488,289.252088,717.492445,219.820947,82.777128,708.826721,0,2739.149414,,
2021-01-02,23,481.764534,239.44872,100.84057,683.911401,188.938037,11.223912,708.386244,0,2414.513418,,
2021-01-02,24,481.793714,238.80976,24.413953,651.498021,97.285109,0,704.233969,0,2198.034526,,
2021-01-03,1,481.786693,237.37896,9.511254,640.50466,89.11547,0,703.228197,0,2161.525234,,
2021-01-03,2,481.492676,239.44368,3.422337,684.666449,90.18776,0,710.417037,0,2209.629939,,
2021-01-03,3,481.412395,240.0272,1.566526,676.987139,88.314138,0,713.405198,0,2201.712596,,
2021-01-03,4,481.278359,238.65912,0.776553,714.328906,85.085652,0,714.171923,0,2234.300513,,
2021-01-03,5,480.786021,236.21584,0.727309,689.785813,81.697398,31.849104,709.743372,0,2230.804857,,
2021-01-03,6,479.232981,238.24024,0.51392,739.051361,77.032273,137.005008,708.470411,0,2379.546194,,
2021-01-03,7,478.344303,238.02632,0.031985,776.87815,74.485742,168.92652,709.895112,0,2446.588132,,
2021-01-03,8,478.279713,237.68752,1.413294,787.807037,116.356099,161.53284,712.95305,0,2496.029553,,
2021-01-03,9,478.24537,236.03664,241.73,713.80435,532.38207,116.133528,713.272743,0,3031.604701,,
2021-01-03,10,478.481929,240.28256,1147.479654,755.939871,470.424724,41.196288,710.660822,0,3844.465848,,
2021-01-03,11,478.571857,238.46592,1278.875242,724.530092,593.818556,0.001344,711.783352,0,4026.046363,,
2021-01-03,12,478.314373,238.25088,1558.82145,653.774217,599.0119,0,711.656884,0,4239.829704,,
2021-01-03,13,478.561781,237.00488,1469.373795,651.970548,245.461473,0,705.410485,0,3787.782962,,
2021-01-03,14,478.852673,239.3636,1195.727519,662.778727,383.726103,0,696.927555,0,3657.376177,,
2021-01-03,15,478.979975,240.81456,839.866138,640.234335,455.296168,0,715.75542,0,3370.946596,,
2021-01-03,16,479.009878,239.84912,407.133106,668.557348,603.034055,0,713.142475,0,3110.725982,,
2021-01-03,17,479.044312,237.8124,248.110392,620.906969,327.345443,51.37608,714.746757,0,2679.342353,,
2021-01-03,18,478.975533,239.43584,617.442014,555.050658,255.667733,166.4964,734.962002,0,3048.03018,,
2021-01-03,19,478.92021,239.63128,801.691255,548.710993,226.193079,221.887008,695.359298,0,3212.393123,,
2021-01-03,20,479.034069,237.74576,794.400367,565.40288,226.758288,233.373504,625.717549,0,3162.432417,,
2021-01-03,21,479.597686,237.6584,432.755936,613.573361,179.897018,205.076088,621.480738,0,2770.039227,,
2021-01-03,22,480.84623,239.03656,191.259907,639.240875,124.695429,130.955496,620.366891,0,2426.401388,,
2021-01-03,23,481.997743,239.3468,64.889992,641.396976,89.442431,47.946024,622.641105,0,2187.661071,,
2021-01-03,24,482.475621,237.82416,15.361442,617.676369,84.329264,1.080408,625.910182,0,2064.657446,,
2021-01-04,1,482.522044,237.67856,6.226187,596.92598,86.518954,0,622.114098,0,2031.985823,,
2021-01-04,2,482.47885,238.21168,3.35503,592.008204,87.863366,0,622.600387,0,2026.517517,,
2021-01-04,3,481.812626,239.78416,2.392916,562.302494,88.328838,0,621.16001,0,1995.781044,,
2021-01-04,4,481.10159,237.82248,0.846473,553.083511,86.21999,0,620.914539,0,1979.988583,,
2021-01-04,5,481.006852,237.4232,0.713319,525.080037,83.380552,0,617.783466,0,1945.387426,,
2021-01-04,6,480.628312,237.48872,0.526416,521.190401,80.218237,60.816336,616.923554,0,1997.791976,,
2021-01-04,7,478.702411,237.01104,0.0772,515.827178,75.935109,146.803272,616.330108,0,2070.686318,,
2021-01-04,8,478.750939,237.56488,3.564585,426.746914,109.522804,164.375232,616.987525,0,2037.512879,,
2021-01-04,9,478.13385,237.01608,294.595517,349.350392,539.848832,144.573744,612.972155,0,2656.49057,,
2021-01-04,10,478.137064,237.43608,1039.517979,355.06017,561.872685,87.270792,615.647219,0,3374.941989,,
2021-01-04,11,477.813164,239.21128,1169.895043,313.754463,569.215863,16.632336,608.735354,0,3395.257503,,
2021-01-04,12,478.16687,238.73472,1379.624805,283.399201,468.723624,0,602.012277,0,3450.661497,,
2021-01-04,13,478.434262,239.22304,1399.564658,219.436339,260.268195,0,609.536143,0,3206.462637,,
2021-01-04,14,478.96851,240.51216,1338.885038,186.424195,433.089706,0,609.498868,0,3287.378477,,
2021-01-04,15,480.30568,241.75088,1102.913174,165.022871,342.57697,0,611.901771,0,2944.471346,,
2021-01-04,16,480.538837,239.69176,771.548674,142.486724,353.863075,0,616.65085,0,2604.77992,,
2021-01-04,17,480.290047,240.4108,413.896029,113.467064,347.179215,0,627.759681,0,2223.002836,,
