기준일,구분, 발전량(단위: kWh    ) 
2021-01-01,사업용태양광,9345303
2021-01-01,사업용풍력,0
2021-01-01,자가용태양광,17048
2021-01-01,자가용풍력,0
2021-02-01,사업용태양광,13715619
2021-02-01,사업용풍력,0
2021-02-01,자가용태양광,22687
2021-02-01,자가용풍력,0
2021-03-01,사업용태양광,18184205
2021-03-01,사업용풍력,0
2021-03-01,자가용태양광,32882
2021-03-01,자가용풍력,0
2021-04-01,사업용태양광,23109238
2021-04-01,사업용풍력,0
2021-04-01,자가용태양광,40345
2021-04-01,자가용풍력,0
2021-05-01,사업용태양광,24242950
2021-05-01,사업용풍력,0
2021-05-01,자가용태양광,40223
2021-05-01,자가용풍력,0
2021-06-01,사업용태양광,23040425
2021-06-01,사업용풍력,0
2021-06-01,자가용태양광,36881
2021-06-01,자가용풍력,0
2021-07-01,사업용태양광,20623348
2021-07-01,사업용풍력,0
2021-07-01,자가용태양광,24195
2021-07-01,자가용풍력,0
2021-08-01,사업용태양광,21077250
2021-08-01,사업용풍력,0
2021-08-01,자가용태양광,22332
2021-08-01,자가용풍력,0
2021-09-01,사업용태양광,17880323
2021-09-01,사업용풍력,0
2021-09-01,자가용태양광,20771
2021-09-01,자가용풍력,0
2021-10-01,사업용태양광,23291100
2021-10-01,사업용풍력,0
2021-10-01,자가용태양광,23396
2021-10-01,자가용풍력,0
2021-11-01,사업용태양광,19220151
2021-11-01,사업용풍력,0
2021-11-01,자가용태양광,17095
2021-11-01,자가용풍력,0
2021-12-01,사업용태양광,15193721
2021-12-01,사업용풍력,0
2021-12-01,자가용태양광,13026
2021-12-01,자가용풍력,0
